Source;Target;Type
name1;Committee1;Undirected
name2;Committee1;Undirected
name3;Committee1;Undirected
name4;Committee1;Undirected
name5;Committee1;Undirected
name6;Committee1;Undirected
name7;Committee1;Undirected
name8;Committee1;Undirected
name9;Committee1;Undirected
name10;Committee1;Undirected
name11;Committee1;Undirected
name12;Committee1;Undirected
name51;Committee1;Undirected
name52;Committee1;Undirected
name53;Committee1;Undirected
name54;Committee1;Undirected
name55;Committee1;Undirected
name1;Committee2;Undirected
name2;Committee2;Undirected
name3;Committee2;Undirected
name14;Committee2;Undirected
name15;Committee2;Undirected
name16;Committee2;Undirected
name17;Committee2;Undirected
name56;Committee2;Undirected
name57;Committee2;Undirected
name58;Committee2;Undirected
name59;Committee2;Undirected
name60;Committee2;Undirected
name1;Committee3;Undirected
name8;Committee3;Undirected
name13;Committee3;Undirected
name14;Committee3;Undirected
name6;Committee3;Undirected
name18;Committee3;Undirected
name19;Committee3;Undirected
name20;Committee3;Undirected
name21;Committee3;Undirected
name22;Committee3;Undirected
name23;Committee3;Undirected
name24;Committee3;Undirected
name25;Committee3;Undirected
name26;Committee3;Undirected
name27;Committee3;Undirected
name28;Committee3;Undirected
name29;Committee3;Undirected
name30;Committee3;Undirected
name31;Committee3;Undirected
name61;Committee3;Undirected
name62;Committee3;Undirected
name63;Committee3;Undirected
name64;Committee3;Undirected
name65;Committee3;Undirected
name2;Committee4;Undirected
name22;Committee4;Undirected
name18;Committee4;Undirected
name3;Committee4;Undirected
name66;Committee4;Undirected
name67;Committee4;Undirected
name68;Committee4;Undirected
name69;Committee4;Undirected
name70;Committee4;Undirected
name7;Committee5;Undirected
name9;Committee5;Undirected
name17;Committee5;Undirected
name29;Committee5;Undirected
name31;Committee5;Undirected
name32;Committee5;Undirected
name33;Committee5;Undirected
name34;Committee5;Undirected
name35;Committee5;Undirected
name36;Committee5;Undirected
name37;Committee5;Undirected
name38;Committee5;Undirected
name39;Committee5;Undirected
name71;Committee5;Undirected
name72;Committee5;Undirected
name73;Committee5;Undirected
name74;Committee5;Undirected
name75;Committee5;Undirected
name5;Committee6;Undirected
name14;Committee6;Undirected
name27;Committee6;Undirected
name39;Committee6;Undirected
name40;Committee6;Undirected
name41;Committee6;Undirected
name42;Committee6;Undirected
name43;Committee6;Undirected
name76;Committee6;Undirected
name77;Committee6;Undirected
name78;Committee6;Undirected
name79;Committee6;Undirected
name80;Committee6;Undirected
name13;Committee7;Undirected
name1;Committee7;Undirected
name11;Committee7;Undirected
name44;Committee7;Undirected
name45;Committee7;Undirected
name46;Committee7;Undirected
name47;Committee7;Undirected
name48;Committee7;Undirected
name49;Committee7;Undirected
name50;Committee7;Undirected
name33;Committee7;Undirected
name16;Committee7;Undirected
name81;Committee7;Undirected
name82;Committee7;Undirected
name83;Committee7;Undirected
name84;Committee7;Undirected
name85;Committee7;Undirected
name4;Committee8;Undirected
name8;Committee8;Undirected
name19;Committee8;Undirected
name86;Committee8;Undirected
name87;Committee8;Undirected
name88;Committee8;Undirected
name89;Committee8;Undirected
name90;Committee8;Undirected
name20;Committee9;Undirected
name29;Committee9;Undirected
name44;Committee9;Undirected
name37;Committee9;Undirected
name50;Committee9;Undirected
name34;Committee9;Undirected
name91;Committee9;Undirected
name92;Committee9;Undirected
name93;Committee9;Undirected
name94;Committee9;Undirected
name95;Committee9;Undirected
name2;Committee10;Undirected
name7;Committee10;Undirected
name19;Committee10;Undirected
name39;Committee10;Undirected
name42;Committee10;Undirected
name43;Committee10;Undirected
name11;Committee10;Undirected
name25;Committee10;Undirected
name96;Committee10;Undirected
name97;Committee10;Undirected
name98;Committee10;Undirected
name99;Committee10;Undirected
name100;Committee10;Undirected
